Main Daily Publisher,Main Daily Mobile App Bundle Code,os
10 News WTSP,com.gannett.local.library.news.wtsp,android
10 News WTSP,568148832,ios
10 News WTSP,com-belo-id3072.app,android
11Alive,com.gannett.local.library.news.wxia,android
11Alive,461033172,ios
11Alive WX,com.wxia.android.weather,android
12 News KPNX,953992180,ios
12 News KPNX,com-gannett-local-library-news-kpnx.app,android
12News Now - KBMT & K-JAC,419611089,ios
12News Now - KBMT & K-JAC,446226528,ios
13 WMAZ,com.gannett.local.library.news.wmaz,android
13 WMAZ,467460140,ios
1Weather PSM,com.onelouder.oneweather,android
1Weather PSM,com-handmark-expressweather.app,android
1Weather PSM,1044809694,ios
2ndline_A9,com-enflick-android-tn2ndlini.app,android
2ndline_A9,com.enflick.android.tn2ndLiqd,android
2ndline_A9,com.enflick.android.tn2ndLjzn,android
2ndline_A9,com.enflick.android.tn2ndLiok,android
2ndline_A9,com.enflick.android.tn2ndLint,android
2ndline_A9,com.enflick.android.tn2ndLioa,android
2ndline_A9,com.enflick.android.tn2ndLine,android
2ndline_A9,com-enflick-android-tn2ndlinj.app,android
2ndline_A9,com.enflick.android.tn2ndLioz,android
2ndline_A9,com.enflick.android.tn2ndLjzf,android
2ndline_A9,com.enflick.android.tn2ndLjya,android
2ndline_A9,com-enflick-android-tn2ndlinl.app,android
2ndline_A9,com.enflick.android.tn2ndLioe,android
2ndline_A9,com.enflick.android.tn2ndLipf,android
